date,open,high,low,close,volume
2012/01/02,55.3333,55.6284,55.1119,55.3333,"14,945"
2012/01/03,55.7022,55.9973,55.4808,55.8497,"21,223"
2012/01/04,56.1448,56.1448,55.7022,55.9235,"34,126"
2012/01/05,56.0711,56.0711,55.5546,56.0711,"28,076"
2012/01/06,55.9973,55.9973,55.2595,55.7759,"30,123"
2012/01/09,55.4808,55.7759,55.0382,55.7759,"27,655"
2012/01/10,56.0711,56.4399,55.9235,56.4399,"62,064"
2012/01/11,56.6613,56.8088,56.1448,56.4399,"44,295"
2012/01/12,56.5875,56.8826,56.4399,56.8088,"55,520"
2012/01/13,56.9564,57.5466,56.8088,57.1777,"57,757"
2012/01/16,56.1448,56.7351,55.0382,55.5546,"37,711"
2012/01/17,55.9973,55.9973,55.2595,55.7759,"43,995"
2012/01/18,55.9973,56.5875,55.7759,56.5875,"57,181"
2012/01/30,57.5466,58.6533,56.9564,58.063,"147,548"
2012/01/31,57.6204,57.9155,56.2924,57.9155,"87,917"
2012/02/01,57.1777,57.3253,56.5875,56.8088,"47,222"
2012/02/02,57.1777,57.1777,56.1448,56.6613,"54,065"
2012/02/03,56.2924,56.3662,55.7759,56.2186,"49,361"
2012/02/04,56.3662,56.5875,56.0711,56.4399,"22,960"
2012/02/06,57.0302,57.1777,56.5137,57.1039,"47,596"
2012/02/07,57.1777,57.1777,56.6613,57.1039,"30,008"
2012/02/08,57.1777,57.1777,56.7351,57.1777,"35,600"
2012/02/09,56.8088,57.5466,56.4399,57.5466,"70,988"
2012/02/10,57.5466,57.5466,56.5875,56.7351,"47,270"
2012/02/13,56.3662,56.8826,56.2186,56.5137,"36,415"
2012/02/14,56.8826,57.1039,56.2186,57.0302,"42,110"
2012/02/15,57.2515,57.9155,57.2515,57.9155,"71,500"
2012/02/16,57.9155,58.2106,57.5466,57.9155,"59,907"
2012/02/17,58.6533,59.8337,58.5795,59.0222,"78,979"
2012/02/20,59.4648,59.6124,58.8008,59.0222,"31,810"
2012/02/21,59.0222,59.0222,58.5057,59.0222,"28,138"
2012/02/22,58.9484,59.0222,58.2844,58.8008,"41,142"
2012/02/23,58.2844,58.5795,57.3253,57.6204,"59,975"
2012/02/24,57.1777,58.3582,56.9564,58.3582,"41,026"
2012/02/29,59.1697,59.8337,58.5795,59.8337,"78,339"
2012/03/01,59.7599,59.7599,59.0959,59.0959,"21,239"
2012/03/02,59.0222,59.0959,58.4319,59.0222,"23,912"
2012/03/03,58.3582,58.727,58.3582,58.5057,"7,341"
2012/03/05,58.063,58.727,57.9155,58.2106,"22,825"
2012/03/06,58.727,58.727,57.7679,58.6533,"27,779"
2012/03/07,58.2844,58.5057,58.063,58.3582,"30,335"
2012/03/08,58.8746,59.1697,58.4319,58.8008,"36,967"
